version,seconds,cpu,processes,mem_used_mb,memused_percent
v1,255.046,0.42,1,287.96,0.02
v1,255.626,0.4,1,287.96,0.02
v1,256.204,0.46,1,287.96,0.02
v1,256.778,0.5,1,287.96,0.02
v1,257.363,0.24,1,287.96,0.02
v1,257.938,0.22,1,287.96,0.02
v1,258.518,0.42,1,287.96,0.02
v1,259.093,0.46,1,287.96,0.02
v1,259.671,0.38,1,287.96,0.02
v1,260.249,0.38,1,287.96,0.02
v1,260.827,0.48,1,287.96,0.02
v1,261.402,0.5,1,290.17,0.02
v1,261.983,0.5,1,290.17,0.02
v1,262.559,0.5,1,290.17,0.02
v1,263.149,0.44,1,290.17,0.02
v1,263.725,0.42,1,290.17,0.02
v1,264.299,0.5,1,290.17,0.02
v1,264.883,0.42,1,290.17,0.02
v1,265.459,0.4,1,290.17,0.02
v1,266.038,0.44,1,290.17,0.02
v1,266.617,0.42,1,290.17,0.02
v1,267.192,0.42,1,290.17,0.02
v1,267.775,0.16,1,290.17,0.02
v1,268.354,0.4,1,290.17,0.02
v1,268.929,0.42,1,290.17,0.02
v1,269.51,0.44,1,290.17,0.02
v1,270.085,0.36,1,290.17,0.02
v1,270.663,0.5,1,290.17,0.02
v1,271.245,0.32,1,290.17,0.02
v1,271.824,0.4,1,290.17,0.02
v1,272.401,0.4,1,290.17,0.02
v1,272.979,0.38,1,290.17,0.02
v1,273.556,0.4,1,290.17,0.02
v1,274.135,0.46,1,290.17,0.02
v1,274.712,0.5,1,290.17,0.02
v1,275.287,0.46,1,290.17,0.02
v1,275.867,0.38,1,290.17,0.02
v1,276.442,0.46,1,290.17,0.02
v1,277.021,0.42,1,290.17,0.02
v1,277.6,0.2,1,290.17,0.02
v1,278.176,0.22,1,290.17,0.02
v1,278.763,0.22,1,290.17,0.02
v1,279.34,0.42,1,290.17,0.02
v1,279.915,0.42,1,290.17,0.02
v1,280.496,0.48,1,290.17,0.02
v1,281.078,0.46,1,290.17,0.02
v1,281.655,0.5,1,290.17,0.02
v1,282.235,0.44,1,290.17,0.02
v1,282.811,0.36,1,290.17,0.02
v1,283.395,0.36,1,290.17,0.02
v1,283.976,0.4,1,290.17,0.02
v1,284.552,0.4,1,290.17,0.02
v1,285.132,0.46,1,290.17,0.02
v1,285.707,0.4,1,290.17,0.02
v1,286.283,0.4,1,290.17,0.02
v1,286.863,0.5,1,290.17,0.02
v1,287.446,0.28,1,290.17,0.02
v1,288.024,0.26,1,290.17,0.02
v1,288.601,0.34,1,290.17,0.02
v1,289.176,0.34,1,290.17,0.02
v1,289.755,0.38,1,290.17,0.02
v1,290.329,0.38,1,290.17,0.02
v1,290.904,0.4,1,290.17,0.02
v1,291.484,0.4,1,290.17,0.02
v1,292.06,0.44,1,290.17,0.02
v1,292.635,0.42,1,290.44,0.02
v1,293.217,0.42,1,290.44,0.02
v1,293.792,0.32,1,290.44,0.02
v1,294.384,0.42,1,290.59,0.02
v1,294.959,0.36,1,290.59,0.02
v1,295.536,0.4,1,290.59,0.02
v1,296.113,0.38,1,290.59,0.02
